Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","decreto_lei_4657_19420904, Art. 1º, caput",2,3,"[ Lei de Introdução às normas do Direito Brasileiro.(Ementa com redação dada pela Lei nº 12.376, de 30.12.2010) | ] Salvo disposição contrária, a lei começa a vigorar em todo o país quarenta e cinco dias depois de oficialmente publicada.",urn:lex:br:federal:decreto.lei:1942-09-04;4657!art1_cpt
"PAR","decreto_lei_4657_19420904, Art. 1º, § 1º",4,5,"[ Lei de Introdução às normas do Direito Brasileiro.(Ementa com redação dada pela Lei nº 12.376, de 30.12.2010) | ] Nos Estados estrangeiros, a obrigatoriedade da lei brasileira, quando admitida, se inicia três meses depois de oficialmente publicada. (Vide Lei nº 5.338, de 16.10.1967)",urn:lex:br:federal:decreto.lei:1942-09-04;4657!art1_par1
"PAR","decreto_lei_4657_19420904, Art. 1º, § 2º",6,7,"[ Lei de Introdução às normas do Direito Brasileiro.(Ementa com redação dada pela Lei nº 12.376, de 30.12.2010) | ] (Revogado pela Lei nº 12.036, de 1.10.2009)",urn:lex:br:federal:decreto.lei:1942-09-04;4657!art1_par2
"PAR","decreto_lei_4657_19420904, Art. 1º, § 3º",8,9,"[ Lei de Introdução às normas do Direito Brasileiro.(Ementa com redação dada pela Lei nº 12.376, de 30.12.2010) | ] Se, antes de entrar a lei em vigor, ocorrer nova publicação de seu texto, destinada a correção, o prazo deste artigo e dos parágrafos anteriores começará a correr da nova publicação.",urn:lex:br:federal:decreto.lei:1942-09-04;4657!art1_par3
"PAR","decreto_lei_4657_19420904, Art. 1º, § 4º",10,11,"[ Lei de Introdução às normas do Direito Brasileiro.(Ementa com redação dada pela Lei nº 12.376, de 30.12.2010) | ] As correções a texto de lei já em vigor consideram-se lei nova.",urn:lex:br:federal:decreto.lei:1942-09-04;4657!art1_par4
"CPT","decreto_lei_4657_19420904, Art. 2º, caput",14,15,"[ Lei de Introdução às normas do Direito Brasileiro.(Ementa com redação dada pela Lei nº 12.376, de 30.12.2010) | ] Não se destinando à vigência temporária, a lei terá vigor até que outra a modifique ou revogue.",urn:lex:br:federal:decreto.lei:1942-09-04;4657!art2_cpt
"PAR","decreto_lei_4657_19420904, Art. 2º, § 1º",16,17,"[ Lei de Introdução às normas do Direito Brasileiro.(Ementa com redação dada pela Lei nº 12.376, de 30.12.2010) | ] A lei posterior revoga a anterior quando expressamente o declare, quando seja com ela incompatível ou quando regule inteiramente a matéria de que tratava a lei anterior.",urn:lex:br:federal:decreto.lei:1942-09-04;4657!art2_par1
"PAR","decreto_lei_4657_19420904, Art. 2º, § 2º",18,19,"[ Lei de Introdução às normas do Direito Brasileiro.(Ementa com redação dada pela Lei nº 12.376, de 30.12.2010) | ] A lei nova, que estabeleça disposições gerais ou especiais a par das já existentes, não revoga nem modifica a lei anterior.",urn:lex:br:federal:decreto.lei:1942-09-04;4657!art2_par2
"PAR","decreto_lei_4657_19420904, Art. 2º, § 3º",20,21,"[ Lei de Introdução às normas do Direito Brasileiro.(Ementa com redação dada pela Lei nº 12.376, de 30.12.2010) | ] Salvo disposição em contrário, a lei revogada não se restaura por ter a lei revogadora perdido a vigência.",urn:lex:br:federal:decreto.lei:1942-09-04;4657!art2_par3
"CPT","decreto_lei_4657_19420904, Art. 3º, caput",24,25,"[ Lei de Introdução às normas do Direito Brasileiro.(Ementa com redação dada pela Lei nº 12.376, de 30.12.2010) | ] Ninguém se escusa de cumprir a lei, alegando que não a conhece.",urn:lex:br:federal:decreto.lei:1942-09-04;4657!art3_cpt
