Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","decreto_12002_2024, Art. 1º, caput",3,8,"[ Vigência Estabelece normas para elaboração, redação, alteração e consolidação de atos normativos. | DISPOSIÇÕES PRELIMINARES Objeto | ] Este Decreto estabelece: as normas para a elaboração, a redação, a alteração e a consolidação de atos normativos; e o fluxo de encaminhamento e análise de atos normativos de competência do Presidente da República.",urn:lex:br:federal:decreto:2024-04-22;12002!art1_cpt
"CPT","decreto_12002_2024, Art. 2º, caput",11,12,"[ Vigência Estabelece normas para elaboração, redação, alteração e consolidação de atos normativos. | DISPOSIÇÕES PRELIMINARES Objeto | ] As disposições deste Decreto aplicam-se aos atos normativos de competência do Presidente da República e de autoridades hierarquicamente inferiores, no âmbito da administração pública federal direta, autárquica e fundacional.",urn:lex:br:federal:decreto:2024-04-22;12002!art2_cpt
"CPT","decreto_12002_2024, Art. 3º, caput",17,18,"[ Vigência Estabelece normas para elaboração, redação, alteração e consolidação de atos normativos. | DA ELABORAÇÃO, DA REDAÇÃO, DA ARTICULAÇÃO E DA ALTERAÇÃO DE ATOS NORMATIVOS Análise prévia à elaboração de atos normativos | ] Compete aos órgãos e às entidades da administração pública federal direta, autárquica e fundacional, previamente à elaboração do ato normativo, analisar o problema identificado e a solução a ser adotada.",urn:lex:br:federal:decreto:2024-04-22;12002!art3_cpt
"PAR","decreto_12002_2024, Art. 3º, § 1º",19,20,"[ Vigência Estabelece normas para elaboração, redação, alteração e consolidação de atos normativos. | DA ELABORAÇÃO, DA REDAÇÃO, DA ARTICULAÇÃO E DA ALTERAÇÃO DE ATOS NORMATIVOS Análise prévia à elaboração de atos normativos | ] O Anexo contém questões a serem avaliadas previamente à elaboração do ato normativo e consiste em guia para auxiliar na análise de que trata o caput.",urn:lex:br:federal:decreto:2024-04-22;12002!art3_par1
"PAR","decreto_12002_2024, Art. 3º, § 2º",21,22,"[ Vigência Estabelece normas para elaboração, redação, alteração e consolidação de atos normativos. | DA ELABORAÇÃO, DA REDAÇÃO, DA ARTICULAÇÃO E DA ALTERAÇÃO DE ATOS NORMATIVOS Análise prévia à elaboração de atos normativos | ] O Anexo não deve ser formalmente preenchido.",urn:lex:br:federal:decreto:2024-04-22;12002!art3_par2
"CPT","decreto_12002_2024, Art. 4º, caput",25,60,"[ Vigência Estabelece normas para elaboração, redação, alteração e consolidação de atos normativos. | DA ELABORAÇÃO, DA REDAÇÃO, DA ARTICULAÇÃO E DA ALTERAÇÃO DE ATOS NORMATIVOS Análise prévia à elaboração de atos normativos | ] O ato normativo será estruturado em três partes básicas: parte preliminar, com: a epígrafe; a ementa; e o preâmbulo, com: a autoria; o fundamento de validade, nas medidas provisórias, nos decretos e nos atos normativos inferiores a decreto; e a ordem de execução, nos decretos e nos atos normativos inferiores a decreto; parte normativa, com as normas que regulam o objeto; parte final, com: se for caso: as disposições sobre medidas necessárias à implementação das normas constantes da parte normativa; as disposições transitórias; e a cláusula de revogação; e a cláusula de vigência; e o fecho, nas leis, nas medidas provisórias e nos decretos, com a menção: a “Brasília”, seguida de vírgula e da data de assinatura por extenso com ponto e vírgula após a data; e aos anos transcorridos desde a Independência e desde a Proclamação da República.",urn:lex:br:federal:decreto:2024-04-22;12002!art4_cpt
"PAR","decreto_12002_2024, Art. 4º, § 1º",61,76,"[ Vigência Estabelece normas para elaboração, redação, alteração e consolidação de atos normativos. | DA ELABORAÇÃO, DA REDAÇÃO, DA ARTICULAÇÃO E DA ALTERAÇÃO DE ATOS NORMATIVOS Análise prévia à elaboração de atos normativos | ] A epígrafe dos atos normativos será constituída pelos seguintes elementos, nesta ordem: título designativo da espécie normativa; nos atos normativos inferiores a decreto, sigla oficial adotada no Sistema de Informações Organizacionais do Governo Federal – SIORG: do órgão ou da entidade; da unidade administrativa da autoridade signatária, seguida da sigla do órgão ou da entidade a que se vincula; ou da unidade da autoridade signatária, seguida da sigla da unidade superior e da sigla do órgão ou da entidade a que se vincula; numeração sequencial; e data de assinatura.",urn:lex:br:federal:decreto:2024-04-22;12002!art4_par1
"PAR","decreto_12002_2024, Art. 4º, § 2º",77,78,"[ Vigência Estabelece normas para elaboração, redação, alteração e consolidação de atos normativos. | DA ELABORAÇÃO, DA REDAÇÃO, DA ARTICULAÇÃO E DA ALTERAÇÃO DE ATOS NORMATIVOS Análise prévia à elaboração de atos normativos | ] Os decretos regulamentares, fundamentados no art. 84, caput, inciso IV, da Constituição, terão como fundamento de validade a lei ou medida provisória a ser regulamentada.",urn:lex:br:federal:decreto:2024-04-22;12002!art4_par2
"PAR","decreto_12002_2024, Art. 4º, § 3º",79,80,"[ Vigência Estabelece normas para elaboração, redação, alteração e consolidação de atos normativos. | DA ELABORAÇÃO, DA REDAÇÃO, DA ARTICULAÇÃO E DA ALTERAÇÃO DE ATOS NORMATIVOS Análise prévia à elaboração de atos normativos | ] Ressalvados os decretos de promulgação de atos internacionais, os atos normativos não conterão enunciados iniciados pela expressão “considerando”, nem explicações destinadas a justificar a edição do ato normativo.",urn:lex:br:federal:decreto:2024-04-22;12002!art4_par3
"PAR","decreto_12002_2024, Art. 4º, § 4º",81,82,"[ Vigência Estabelece normas para elaboração, redação, alteração e consolidação de atos normativos. | DA ELABORAÇÃO, DA REDAÇÃO, DA ARTICULAÇÃO E DA ALTERAÇÃO DE ATOS NORMATIVOS Análise prévia à elaboração de atos normativos | ] A menção de que trata a alínea “c” do inciso III do caput será realizada com numeração ordinal, observados o ano em curso e os aniversários dos eventos históricos a ocorrerem no ano em curso.",urn:lex:br:federal:decreto:2024-04-22;12002!art4_par4
